x_squared,xy,y_squared,x_plus_y,x_plus_2y
-3.59,-1.67,-2.95,-1.57,-1.37
-5.85,-2.05,-4.58,-1.99,-2.59
3.41,1.14,2.66,1.7,0.96
-0.19,-1.23,-0.54,-1.51,0.98
-1.77,0.92,-0.88,0.53,-1.4
-3.45,-0.15,-2.35,-0.49,-1.87
3.53,0.68,2.58,0.75,1.84
0.03,0.8,0.29,-0.08,0.37
-0.67,-1.83,-1.06,-0.88,-0.18
-3.24,-2.36,-2.95,-1.57,-1.38
-0.07,-1.84,-0.66,-0.48,-0.17
-0.12,-0.85,-0.36,-1.66,1.3
3.65,0.32,2.54,0.04,2.5
-2.17,-0.49,-1.61,-2.0,0.39
-1.58,-1.22,-1.46,-1.92,0.46
-0.27,1.58,0.34,0.71,-0.37
-0.34,-1.57,-0.75,-0.66,-0.09
3.37,1.53,2.75,2.51,0.24
-0.26,0.73,0.07,-0.68,0.75
1.86,2.4,2.04,1.46,0.58
-1.5,-1.74,-1.58,-1.68,0.1
-1.69,-0.92,-1.43,-0.83,-0.61
1.34,-0.25,0.81,-0.53,1.34
1.43,1.15,1.33,2.3,-0.96
3.16,2.23,2.85,1.31,1.55
3.56,0.51,2.54,1.22,1.33
-2.29,-1.36,-1.98,-1.79,-0.18
4.29,1.78,3.45,1.49,1.97
-0.43,0.52,-0.11,1.41,-1.52
-0.44,-1.22,-0.7,-1.19,0.48
-2.01,0.4,-1.2,-0.82,-0.38
1.26,1.76,1.43,1.8,-0.37
1.91,2.68,2.17,1.36,0.81
-1.12,-1.36,-1.2,-0.51,-0.69
3.39,1.58,2.78,1.74,1.04
3.19,2.12,2.84,2.05,0.79
1.02,-0.27,0.59,1.31,-0.72
0.07,0.97,0.37,1.8,-1.43
-1.49,-2.09,-1.69,-1.66,-0.03
5.17,2.21,4.18,2.43,1.75
-2.5,0.09,-1.64,-0.21,-1.43
3.19,-0.93,1.81,-0.84,2.66
1.9,1.27,1.69,0.19,1.5
0.79,1.16,0.91,2.18,-1.26
-4.61,-0.71,-3.31,-0.98,-2.33
-1.16,-0.72,-1.01,-0.72,-0.29
0.28,-0.24,0.11,0.5,-0.39
0.01,0.22,0.08,-0.51,0.59
-0.06,-0.17,-0.1,0.79,-0.88
-2.91,-2.11,-2.65,-0.98,-1.67
-4.37,-2.55,-3.76,-2.17,-1.59
2.08,0.89,1.68,1.05,0.63
0.79,-1.33,0.09,-0.86,0.95
-2.2,-0.85,-1.75,-2.09,0.34
3.12,1.46,2.56,2.28,0.28
4.08,1.21,3.12,1.16,1.96
3.74,-0.17,2.44,-0.24,2.68
0.09,-0.38,-0.07,0.4,-0.46
0.5,-1.22,-0.07,-1.32,1.25
3.22,1.78,2.74,2.0,0.74
-0.28,-1.54,-0.7,0.09,-0.79
4.49,2.7,3.89,2.19,1.71
-0.55,-0.96,-0.69,-1.56,0.88
-1.31,-0.43,-1.01,0.33,-1.35
-0.62,0.63,-0.21,0.19,-0.4
-4.58,-1.78,-3.64,-1.58,-2.06
1.55,2.12,1.74,0.84,0.91
-2.11,-0.34,-1.52,-0.31,-1.21
1.57,1.26,1.47,1.51,-0.04
-1.1,-1.02,-1.07,-1.21,0.14
7.07,2.79,5.64,2.86,2.78
0.7,0.9,0.77,0.32,0.45
0.35,-1.14,-0.15,-0.35,0.2
-3.81,-2.05,-3.23,-1.78,-1.45
1.78,0.38,1.31,1.14,0.17
-0.55,1.36,0.09,-0.3,0.39
5.54,1.94,4.34,2.29,2.04
1.92,-0.37,1.16,-0.66,1.81
-3.94,-2.11,-3.33,-1.73,-1.6
3.13,1.95,2.73,2.23,0.5
-1.31,0.98,-0.54,1.02,-1.57
-5.48,-1.76,-4.24,-1.57,-2.67
1.73,-0.55,0.97,-0.26,1.23
-1.51,0.47,-0.85,0.12,-0.97
-0.01,0.88,0.29,1.46,-1.17
-1.33,0.12,-0.84,0.55,-1.39
3.32,0.36,2.33,0.44,1.9
-2.17,-1.34,-1.89,-2.34,0.45
-5.32,-2.34,-4.32,-2.1,-2.22
-2.33,-0.27,-1.64,-0.61,-1.04
-3.3,-1.8,-2.8,-1.8,-1.0
-2.18,-2.44,-2.26,-1.17,-1.09
-3.1,-1.03,-2.41,-1.88,-0.53
0.14,0.66,0.31,0.85,-0.53
-3.23,-1.45,-2.63,-1.76,-0.87
0.05,-0.56,-0.15,-1.49,1.33
0.59,1.06,0.75,1.57,-0.82
2.24,-0.56,1.31,-0.06,1.37
-0.19,0.61,0.08,1.0,-0.93
-2.14,-1.32,-1.87,-1.75,-0.12
-0.09,0.53,0.12,0.22,-0.1
0.76,-0.42,0.37,0.18,0.18
3.89,2.0,3.26,2.6,0.66
